generated_at,provider,product_group,raw_product_name,premium_text,e_insmarket_product_code,e_insmarket_source_url,official_product_url,product_page_status,product_page_hashed_documents,carrier_result_status,carrier_best_match_score,carrier_hashed_documents,hashed_document_types,hashed_document_sha256,hashed_document_urls,review_status,blockers,next_action
2026-05-28T02:28:05.352+09:00,한화생명,암보험,한화생명 e암보험(비갱신형)(무)(표준체형),0원,L01C009000009,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://direct.hanwhalife.com/products/CMS00012?utm_source=einsmarket_mo&utm_medium=association&utm_campaign=cancer,accessible,2,not_probed,0,0,summary|terms,acea8fcef33624a66dd898a729e283004f2a520f8a77daa55db9a3a22bed4d3f|918796d28b8274195258621c08c32c87159c18b1a50fb6e6f653a8c42ba8f7ed,https://direct.hanwhalife.com/products/downloadProxy/%ED%95%9C%ED%99%94%EC%83%9D%EB%AA%85%20e%EC%95%94%EB%B3%B4%ED%97%98(%EB%B9%84%EA%B0%B1%EC%8B%A0%ED%98%95)%20%EB%AC%B4%EB%B0%B0%EB%8B%B9_%EC%83%81%ED%92%88%EC%9A%94%EC%95%BD%EC%84%9C_20260417.pdf?docUrl=dynamic/direct/product/cms_edaqInsr09Jt0RKh_1776383454363.pdf|https://direct.hanwhalife.com/products/downloadProxy/%ED%95%9C%ED%99%94%EC%83%9D%EB%AA%85%20e%EC%95%94%EB%B3%B4%ED%97%98(%EB%B9%84%EA%B0%B1%EC%8B%A0%ED%98%95)%20%EB%AC%B4%EB%B0%B0%EB%8B%B9_%EC%95%BD%EA%B4%80_20260417.pdf?docUrl=dynamic/direct/product/cms_T3jquWCZurf6YKm6_1776383470397.pdf,needs_human_review,sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Verify product identity, sale status, premium basis, coverage_category, and risk_targets."
2026-05-28T02:28:05.352+09:00,한화생명,암보험,한화생명 e암보험(비갱신형)(무)(비흡연체형),0원,L01C009000010,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://direct.hanwhalife.com/products/CMS00012?utm_source=einsmarket_mo&utm_medium=association&utm_campaign=cancer,not_probed,0,not_probed,0,0,,,,needs_source_document,official_document_hash_missing|sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Find official terms or summary PDF from carrier disclosure page, JavaScript API, or manual review."
2026-05-28T02:28:05.352+09:00,미래에셋생명,암보험,온라인 암보험 무배당 [기본형],"4,510원",L34C009000021,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://life.miraeasset.com/online/index.do?_OC_=1363#MO-DR-020000-000000,not_probed,0,not_probed,0,0,,,,needs_source_document,official_document_hash_missing|sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Find official terms or summary PDF from carrier disclosure page, JavaScript API, or manual review."
2026-05-28T02:28:05.352+09:00,미래에셋생명,암보험,온라인 암보험 무배당 [해약환급금이없는유형],"6,490원",L34C009000022,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://life.miraeasset.com/online/index.do?_OC_=1363#MO-DR-020000-000000,not_probed,0,not_probed,0,0,,,,needs_source_document,official_document_hash_missing|sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Find official terms or summary PDF from carrier disclosure page, JavaScript API, or manual review."
2026-05-28T02:28:05.352+09:00,신한라이프생명,암보험,"신한SOL암보험(무배당, 해약환급금 미지급형)(비갱신형)","6,750원",L11C009000006,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://s.shinhanlife.co.kr/sht/6Nf1STxRv62YxH2X1wZxjQYN2qx3K.cs,accessible,0,hashed,0.85,3,summary|business_method|terms,d557ed911adc877976863155e45fec5217ebfe485aed8f0c685797d0d7314c03|9aa1ed61e51a9c67a339430266f8551cd6739bcb48d725bf298e3742fe3797ea|fcd915ee2e5440cf9542711dabd1c3014a1f5f3efef9c0a1f8fc88ed7ca40ffa,"https://shinhanlife.co.kr/bizxpress/cdh/cdhi/gd/pr/__media/%EC%83%81%ED%92%88%EC%9A%94%EC%95%BD%EC%84%9C_%EC%8B%A0%ED%95%9CSOL%EC%95%94%EB%B3%B4%ED%97%98(%EB%AC%B4%EB%B0%B0%EB%8B%B9_%ED%95%B4%EC%95%BD%ED%99%98%EA%B8%89%EA%B8%88%20%EB%AF%B8%EC%A7%80%EA%B8%89%ED%98%95)_260101.pdf|https://shinhanlife.co.kr/bizxpress/cdh/cdhi/gd/pr/__etc/%EC%82%AC%EC%97%85%EB%B0%A9%EB%B2%95%EC%84%9C_%EC%8B%A0%ED%95%9CSOL%EC%95%94%EB%B3%B4%ED%97%98(%EB%AC%B4%EB%B0%B0%EB%8B%B9,%20%ED%95%B4%EC%95%BD%ED%99%98%EA%B8%89%EA%B8%88%20%EB%AF%B8%EC%A7%80%EA%B8%89%ED%98%95)_260101.pdf|https://shinhanlife.co.kr/bizxpress/cdh/cdhi/gd/pr/__etc/%ED%8C%90%EB%A7%A4%EC%95%BD%EA%B4%80_%EC%8B%A0%ED%95%9CSOL%EC%95%94%EB%B3%B4%ED%97%98(%EB%AC%B4%EB%B0%B0%EB%8B%B9,%20%ED%95%B4%EC%95%BD%ED%99%98%EA%B8%89%EA%B8%88%20%EB%AF%B8%EC%A7%80%EA%B8%89%ED%98%95)_260101.pdf",needs_human_review,sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Verify product identity, sale status, premium basis, coverage_category, and risk_targets."
2026-05-28T02:28:05.352+09:00,신한라이프생명,암보험,신한SOL암보험(무배당)(비갱신형),"7,870원",L11C009000007,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://s.shinhanlife.co.kr/sht/6Nf1STxRv62YxH2X1wZxjQYN2qx3K.cs,not_probed,0,not_probed,0,0,,,,needs_source_document,official_document_hash_missing|sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Find official terms or summary PDF from carrier disclosure page, JavaScript API, or manual review."
2026-05-28T02:28:05.352+09:00,KDB생명,암보험,KDB다이렉트 암보험(해약환급금 미지급형III)(무),"8,020원",L33C009000025,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://direct.kdblife.co.kr/p/p.do?ev=1533801,not_probed,0,not_probed,0,0,,,,needs_source_document,official_document_hash_missing|sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Find official terms or summary PDF from carrier disclosure page, JavaScript API, or manual review."
2026-05-28T02:28:05.352+09:00,교보라이프플래닛,암보험,"(무)교보라플 비갱신암보험(해약환급금 미지급형, 비흡연체)","8,410원",L43C009000022,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://m.lifeplanet.co.kr:444/lpds2/insurance/protection-cancer-insurance.dev,not_probed,0,not_probed,0,0,,,,needs_source_document,official_document_hash_missing|sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Find official terms or summary PDF from carrier disclosure page, JavaScript API, or manual review."
2026-05-28T02:28:05.352+09:00,교보라이프플래닛,암보험,"(무)교보라플 비갱신암보험(해약환급금 미지급형, 표준체)","8,490원",L43C009000019,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://m.lifeplanet.co.kr:444/lpds2/insurance/protection-cancer-insurance.dev,not_probed,0,not_probed,0,0,,,,needs_source_document,official_document_hash_missing|sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Find official terms or summary PDF from carrier disclosure page, JavaScript API, or manual review."
2026-05-28T02:28:05.352+09:00,DB생명,암보험,(무)e로운 암보험(해약환급금 미지급형)(2601),"9,700원",L71C009000006,https://e-insmarket.or.kr/m/cancerIns/cancerInsList.knia?action=search&age=34&enterType=A&indemnityTypeA=1&prdtSmlClsCd=D001&renewTypeA=C1&renewTypeB=&sex=2,https://direct.idblife.com/,accessible,0,no_match,0.3333,0,,,,needs_source_document,official_document_hash_missing|sale_status_unapproved|premium_basis_unapproved|coverage_category_unapproved|risk_targets_unapproved,"Find official terms or summary PDF from carrier disclosure page, JavaScript API, or manual review."
