section,id,product_source_id,document_type,monthly_premium_krw,monthly_premium_usdc,expected_status,notes
source_document,doc_miraeasset_online_cancer_basic_summary_202604,src_miraeasset_online_cancer_basic_202605,summary,,,link_only,shared hash with no_refund source
source_document,doc_miraeasset_online_cancer_basic_terms_202605,src_miraeasset_online_cancer_basic_202605,terms,,,link_only,primary source document
source_document,doc_miraeasset_online_cancer_basic_business_202602,src_miraeasset_online_cancer_basic_202605,business_method,,,link_only,shared hash with no_refund source
source_document,doc_miraeasset_online_cancer_no_refund_summary_202604,src_miraeasset_online_cancer_no_refund_202605,summary,,,link_only,shared hash with basic source
source_document,doc_miraeasset_online_cancer_no_refund_terms_202605,src_miraeasset_online_cancer_no_refund_202605,terms,,,link_only,primary source document
source_document,doc_miraeasset_online_cancer_no_refund_business_202602,src_miraeasset_online_cancer_no_refund_202605,business_method,,,link_only,shared hash with basic source
source_approval,src_miraeasset_online_cancer_basic_202605,src_miraeasset_online_cancer_basic_202605,,4510,,approved,oncology risk_target
source_approval,src_miraeasset_online_cancer_no_refund_202605,src_miraeasset_online_cancer_no_refund_202605,,6490,,approved,oncology risk_target
product_snapshot,prod_miraeasset_online_cancer_basic_202605,src_miraeasset_online_cancer_basic_202605,,4510,3.34,active,representative age34_female
product_snapshot,prod_miraeasset_online_cancer_no_refund_202605,src_miraeasset_online_cancer_no_refund_202605,,6490,4.81,active,representative age34_female
