source_id,carrier,product_group,product_name,e_insmarket_product_code,official_product_url_status,product_page_status,pdf_candidates,hashed_documents,carrier_disclosure_status,next_action
src_nh_fire_medical_202605,농협손보,실손의료보험,"(무) 헤아림실손의료비보험2605",N71G004000001G,present,accessible,2,0,no_profile,add_nh_fire_disclosure_adapter
src_lotte_direct_medical_202605,롯데손보,실손의료보험,"무배당 let:care 실손의료보험V(2605)",N03G004000001G,missing,skipped,0,0,not_run,find_official_product_url
src_meritz_direct_medical_202605,메리츠화재,실손의료보험,"(무) 메리츠 다이렉트 실손의료비보험2605",N01G004000002G,present,accessible,0,0,no_profile,add_meritz_disclosure_adapter
src_hanwha_general_direct_medical_202605,한화손보,실손의료보험,"한화다이렉트실손의료보험(갱신형)V 무배당",N02G004000001G,missing,skipped,0,0,not_run,find_official_product_url
src_heungkuk_fire_direct_medical_202605,흥국화재,실손의료보험,"(무)흥Good 다이렉트 실손의료보험(26.05)",N05G004000001G,present,accessible,0,0,no_profile,add_heungkuk_disclosure_adapter
src_db_life_eroun_cancer_202601,DB생명,암보험,"(무)e로운 암보험(해약환급금 미지급형)(2601)",L71C009000006,present,accessible,0,0,no_match,improve_db_life_matching_or_manual_endpoint
src_tongyang_wooriwon_cancer_202605,동양생명,암보험,"(무)우리WON하는실속하나로암보험",L74C009000006,missing,skipped,0,0,not_run,find_official_product_url
src_miraeasset_online_cancer_basic_202605,미래에셋생명,암보험,"온라인 암보험 무배당 [기본형]",L34C009000021,present,accessible,0,0,no_profile,add_miraeasset_disclosure_adapter
src_miraeasset_online_cancer_no_refund_202605,미래에셋생명,암보험,"온라인 암보험 무배당 [해약환급금이없는유형]",L34C009000022,present,accessible,0,0,no_profile,add_miraeasset_disclosure_adapter
src_hanwha_general_direct_cancer_202604,한화손보,암보험,"한화 다이렉트 내가고른 암보험 무배당2604",N02C009000016,present,accessible,0,0,no_profile,add_hanwha_general_disclosure_adapter
