id,carrier,product_group,product_name,e_insmarket_product_code,review_status,source_document_count,quote_count,approved_quote_count,next_action,recommendation_readiness
src_shinhan_life_sol_cancer_202601,신한라이프생명,암보험,"신한SOL암보험(무배당, 해약환급금 미지급형)(비갱신형)",L11C009000006,needs_review,3,4,0,matching_keyword_caveat_review,candidate_after_variant_and_caveat_review
src_samsung_life_hospital_health_202601,삼성생명,입원 건강보험,"삼성 인터넷 입원 건강보험(2601)(무배당,무해약환급금형)",L03C001000015,needs_review,1,0,0,schema_policy_decision,blocked_by_missing_coverage_category
src_nh_fire_medical_202605,농협손보,실손의료보험,"(무) 헤아림실손의료비보험2605",N71G004000001G,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
src_lotte_direct_medical_202605,롯데손보,실손의료보험,"무배당 let:care 실손의료보험V(2605)",N03G004000001G,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
src_meritz_direct_medical_202605,메리츠화재,실손의료보험,"(무) 메리츠 다이렉트 실손의료비보험2605",N01G004000002G,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
src_hanwha_general_direct_medical_202605,한화손보,실손의료보험,"한화다이렉트실손의료보험(갱신형)V 무배당",N02G004000001G,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
src_heungkuk_fire_direct_medical_202605,흥국화재,실손의료보험,"(무)흥Good 다이렉트 실손의료보험(26.05)",N05G004000001G,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
src_db_life_eroun_cancer_202601,DB생명,암보험,"(무)e로운 암보험(해약환급금 미지급형)(2601)",L71C009000006,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
src_tongyang_wooriwon_cancer_202605,동양생명,암보험,"(무)우리WON하는실속하나로암보험",L74C009000006,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
src_miraeasset_online_cancer_basic_202605,미래에셋생명,암보험,"온라인 암보험 무배당 [기본형]",L34C009000021,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
src_miraeasset_online_cancer_no_refund_202605,미래에셋생명,암보험,"온라인 암보험 무배당 [해약환급금이없는유형]",L34C009000022,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
src_shinhan_life_sol_cancer_standard_202605,신한라이프생명,암보험,"신한SOL암보험(무배당)(비갱신형)",L11C009000007,raw,0,4,0,blocked_until_standard_endpoint_found,blocked_by_variant_endpoint
src_hanwha_general_direct_cancer_202604,한화손보,암보험,"한화 다이렉트 내가고른 암보험 무배당2604",N02C009000016,raw,0,4,0,source_document_probe,blocked_until_official_document_hash
